name,shared name,type,avgExpression
PIK3R1,PIK3R1,NeuroDisease,-0.117844489828313
AKT1,AKT1,NeuroDev,-0.0323540500326005
BACE2,BACE2,HSA21gene,2.25829294270263
RAC1,RAC1,NeuroDisease,-0.0513473183047828
TIAM1,TIAM1,HSA21gene,0.749437566349536
HRAS,HRAS,NeuroDisease,0.0476255064252693
ERBB2,ERBB2,NeuroDev,-0.255006976627321
JAK2,JAK2,NeuroDev,0.0087607456294986
TP53,TP53,NeuroDev,-0.173648643550085
HIPK2,HIPK2,NeuroDev,-0.0372065829427644
EGFR,EGFR,NeuroDev,1.36749818355558
GRB2,GRB2,None,0.130411471897907
JAK1,JAK1,None,0.0220278810899778
EP300,EP300,NeuroDisease,0.0290529606155091
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
PRKACA,PRKACA,NeuroDev,0.0459622210055297
SRC,SRC,NeuroDev,-0.0428471829072877
AR,AR,GeneralTF,-0.339977118911973
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
SMAD3,SMAD3,GeneralTF,-0.394794958854225
ESR1,ESR1,GeneralTF,0.0
STAT3,STAT3,NeuroDev,-0.101429880817253
UBE2I,UBE2I,None,0.0042858919874908
ABL1,ABL1,NeuroDev,0.148773938337117
MAPK1,MAPK1,NeuroDisease,-0.0641135346371894
MAPK3,MAPK3,NeuroDev,0.0705023326061009
PDK1,PDK1,None,-0.160652571858138
BRCA1,BRCA1,NeuroDisease,-0.0372214574573613
CD28,CD28,None,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
IL10RA,IL10RA,None,0.0
LYN,LYN,NeuroDev,0.0
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
TYK2,TYK2,None,0.0662680041726459
PTPN11,PTPN11,NeuroDisease,-0.134405826738663
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
MAPK8,MAPK8,None,0.0368909683300027
ITSN1,ITSN1,HSA21gene,0.519088229593054
NCOR2,NCOR2,NeuroDev,-0.0769815510092634
NR3C1,NR3C1,NeuroDev,0.29718070769013
NRIP1,NRIP1,HSA21gene,0.401479191969281
CTLA4,CTLA4,None,0.0
CREBBP,CREBBP,NeuroDisease,-0.0271907807650148
EIF2AK2,EIF2AK2,NeuroDisease,0.0120688056897928
CDK1,CDK1,None,-0.15490979691542
TNK2,TNK2,None,0.0876776354622359
CDK5,CDK5,NeuroDev,0.152059581712372
ITGB3,ITGB3,None,0.0
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CDH5,CDH5,None,0.0
KDR,KDR,None,0.0
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
APP,APP,HSA21gene,0.696731563295763
ITGB1,ITGB1,NeuroDev,-0.134314255402664
ICOSLG,ICOSLG,HSA21gene,0.0
ICOS,ICOS,None,0.0
VWF,VWF,None,0.0
ICAM1,ICAM1,None,0.0
ITGB2,ITGB2,HSA21gene,0.0
JAM3,JAM3,NeuroDisease,0.0806156844157288
COL6A2,COL6A2,HSA21gene,-1.04332461459825
COL18A1,COL18A1,HSA21gene,-0.551493129724772
COL6A1,COL6A1,HSA21gene,0.265033156663093
JAM2,JAM2,HSA21gene,0.276780100857076
IL10RB,IL10RB,HSA21gene,0.550301863806562
SIK1,SIK1,HSA21gene,0.0
CDC42,CDC42,NeuroDisease,0.135178991776851
MAP3K8,MAP3K8,None,-0.154249603798187
PAK5,PAK5,None,0.352835021445958
PRL,PRL,None,0.0
FOXO3,FOXO3,GeneralTF,-0.0237688365126337
ERG,ERG,HSA21TF,0.0
ETS2,ETS2,HSA21TF,0.417956594380445
GABPA,GABPA,HSA21TF,0.601451678662171
RUNX1,RUNX1,HSA21TF,0.654284266741855
SOX4,SOX4,NeuroDisease,0.213148993687883
