name,shared name,type,avgExpression
RPL6,RPL6,GeneralTF,-0.27235618326369987
NAP1L1,NAP1L1,NeuroDev,-0.2680984945782962
EBF1,EBF1,GeneralTF,0.7943503439548684
LHX1,LHX1,NeuroDev,-2.840350915327879
YBX1,YBX1,GeneralTF,-0.1048253496486187
NR2F2,NR2F2,NeuroDev,-0.6551987782534493
ZBTB20,ZBTB20,NeuroDisease,0.5240394905732264
SOX4,SOX4,NeuroDisease,0.2328105103407569
DLX2,DLX2,NeuroDev,1.0961816152230068
HIVEP3,HIVEP3,NeuroDisease,-0.006192325335287329
BCL11B,BCL11B,NeuroDisease,0.5916065099379418
DLX1,DLX1,NeuroDev,0.6612559595565047
NEUROD2,NEUROD2,NeuroDev,-0.8819827722487481
LHX5,LHX5,NeuroDev,-2.0544851039536605
NR2F1,NR2F1,NeuroDisease,-0.2179795969734623
EEF1D,EEF1D,GeneralTF,-0.3259285795636698
NFIB,NFIB,NeuroDisease,-0.43574053190771334
DLX5,DLX5,NeuroDev,1.268927897257204
CELF4,CELF4,NeuroDisease,0.16357286576412958
GLI3,GLI3,NeuroDisease,-0.7014497245602642
ZNF93,ZNF93,GeneralTF,-0.3280131891622833
ID1,ID1,NeuroDev,-1.2720065193842345
NHLH1,NHLH1,NeuroDev,-1.809716161722358
NEUROG1,NEUROG1,NeuroDev,-1.1558750263356052
ESRRG,ESRRG,GeneralTF,0.05673545668776436
HES4,HES4,NeuroDev,-0.621264222573984
MEIS2,MEIS2,NeuroDisease,0.438001312066903
EOMES,EOMES,NeuroDev,-1.9371316522247064
TFAP2C,TFAP2C,GeneralTF,-1.2192591733775973
PBX1,PBX1,NeuroDisease,0.44816668591407993
SOX5,SOX5,NeuroDisease,-0.4780512626583646
SOX11,SOX11,NeuroDisease,0.24233543301072427
TCF4,TCF4,NeuroDisease,-0.1002560281082682
TBR1,TBR1,NeuroDisease,-1.752807583113459
FOXP2,FOXP2,NeuroDisease,1.1071320902792263
EBF2,EBF2,GeneralTF,-2.072165635677046
LHX2,LHX2,NeuroDev,-0.9997110811204205
CERS6,CERS6,GeneralTF,0.2870572280365691
GLIS3,GLIS3,NeuroDisease,-1.5143311231115384
EMX2,EMX2,NeuroDisease,-2.390921621519049
HES1,HES1,NeuroDev,-1.5683620336325683
SP8,SP8,GeneralTF,0.5145877040094867
NEUROG2,NEUROG2,GeneralTF,-1.8783609436384858
EGR1,EGR1,GeneralTF,-0.4616449709295538
PAX6,PAX6,NeuroDisease,-0.4211607405345091
ETFB,ETFB,NeuroDisease,-0.33637150728428455
ID4,ID4,NeuroDev,-0.4071163743052922
BCL11A,BCL11A,NeuroDisease,0.018057174315759206
ZNF704,ZNF704,GeneralTF,0.2363453798275128
NR3C2,NR3C2,NeuroDisease,-1.385150352492239
CELF5,CELF5,GeneralTF,0.29110600856273516
UNCX,UNCX,NeuroDev,-1.1363574306278021
RARB,RARB,NeuroDisease,0.2807690116860262
RBFOX2,RBFOX2,NeuroDev,0.13426450174246582
TCF7L1,TCF7L1,GeneralTF,-0.7760305905574504
POU2F2,POU2F2,GeneralTF,0.08883763193558052
HEY2,HEY2,GeneralTF,-1.7866892143295654
BHLHE22,BHLHE22,GeneralTF,-1.0432137227675806
FOXP1,FOXP1,NeuroDisease,-0.024961465233333185
KMT2A,KMT2A,NeuroDisease,0.18800546921800915
CTBP2,CTBP2,GeneralTF,-0.2221675343765886
SP9,SP9,GeneralTF,0.9628393664284014
SETBP1,SETBP1,NeuroDisease,0.028009060511954793
SMARCB1,SMARCB1,NeuroDisease,-0.25686825111222134
HMGN3,HMGN3,GeneralTF,-0.22025731096894266
RPL9,RPL9,None,-0.3588955868540665
RPL5,RPL5,None,-0.22456963764390644
RPS3A,RPS3A,None,-0.3151553146720041
RPL18,RPL18,None,-0.31284203057475796
RPL13,RPL13,None,-0.34699110248607656
RPS18,RPS18,None,-0.2453132775021729
RPS14,RPS14,None,-0.3879043456537368
ASH1L,ASH1L,NeuroDisease,0.4781162357124405
RPL15,RPL15,None,-0.15922764511574855
RPL18A,RPL18A,None,-0.35050275351688864
RPS12,RPS12,None,-0.2589811731535826
RPL24,RPL24,None,-0.2464688942809413
RPL17,RPL17,None,-0.4154307993380327
RPS24,RPS24,None,-0.28875716663812195
RPS15A,RPS15A,None,-0.27962369381255964
LSAMP,LSAMP,NeuroDev,0.1149189879187407
RPS7,RPS7,NeuroDev,-0.41925054346889484
RPL11,RPL11,None,-0.267887783342614
DENND1A,DENND1A,None,-0.35289124908775016
RPS15,RPS15,None,-0.25272243730466043
RPL10,RPL10,NeuroDisease,-0.26554263475449563
RPL19,RPL19,None,-0.22094260769196078
RPS3,RPS3,None,-0.32164595440768073
RPL8,RPL8,None,-0.33860848134827165
RPS2,RPS2,None,-0.35290085573799557
RPS8,RPS8,None,-0.25894188218466996
RPLP1,RPLP1,None,-0.23551352508100165
RPL27,RPL27,None,-0.2112407935093885
RPL7A,RPL7A,None,-0.3408370542446181
LHX1-DT,LHX1-DT,None,-2.3854698186012184
RPLP0,RPLP0,None,-0.21030812571277044
RPSA,RPSA,None,-0.1958771551922919
RPS5,RPS5,None,-0.21937732426869103
SNHG29,SNHG29,None,-0.18855679649157503
NR2F2-AS1,NR2F2-AS1,None,-1.100934202945153
RPL12,RPL12,None,-0.4007171677746609
GAPDH,GAPDH,None,-0.3061289218529374
RACK1,RACK1,None,-0.20549001922942217
RORA,RORA,NeuroDisease,-0.12873867599993305
RPS9,RPS9,None,-0.30860847423596854
STMN2,STMN2,NeuroDev,0.42899151615732
TUBA1C,TUBA1C,None,-0.10882116789077907
TMSB10,TMSB10,None,0.09158344269211913
RPS6,RPS6,None,-0.455862410088615
AC012409.2,AC012409.2,None,-1.2679590011484467
LINC00581,LINC00581,None,0.9433372482035629
HMGN2,HMGN2,None,0.08823071435750093
PEG10,PEG10,None,0.14058252577218777
NEUROD6,NEUROD6,NeuroDev,-1.778177319450938
LHX5-AS1,LHX5-AS1,None,-3.109899661191446
MIR99AHG,MIR99AHG,None,0.7401684192148219
ERBB4,ERBB4,NeuroDev,-0.7079398838372575
NPM1,NPM1,None,-0.22400930409316794
KCNMB2-AS1,KCNMB2-AS1,None,-0.8848699838935303
EIF3E,EIF3E,None,-0.25330673972280776
ZBTB20-AS5,ZBTB20-AS5,None,0.49317336707872605
ADGRB3,ADGRB3,NeuroDev,0.038513280800806696
KCNMA1,KCNMA1,NeuroDisease,-0.15911023220751686
OAZ1,OAZ1,None,-0.33472977990458935
OAF,OAF,None,-1.6946553905103812
NEGR1,NEGR1,NeuroDev,0.14695442376791065
LINC01965,LINC01965,None,-0.2871428437513539
MLLT11,MLLT11,None,0.44361522799013453
DLX6-AS1,DLX6-AS1,None,1.1714556338009445
ID3,ID3,NeuroDev,-2.0995687973435
EEF1B2,EEF1B2,NeuroDisease,-0.3719365214330738
ST13,ST13,None,-0.3127861406728298
SOD1,SOD1,HSA21TF,0.4228640436619747
LSM4,LSM4,None,-0.2017986122061865
KCNJ3,KCNJ3,None,-0.05611718880903107
GAP43,GAP43,NeuroDev,0.14708091513691263
DYNLL1,DYNLL1,NeuroDev,-0.39177040745857267
EIF3L,EIF3L,None,-0.20026755356008302
DLX6,DLX6,NeuroDev,1.1510644825177956
FIGN,FIGN,None,-0.12594993954074826
TTYH1,TTYH1,None,-0.2723228547073532
RAMP1,RAMP1,None,0.33195389752688487
KIRREL3,KIRREL3,NeuroDev,0.5671135142650157
GRM8,GRM8,None,-0.3447409048940612
CALN1,CALN1,None,0.41116850019007034
CRMP1,CRMP1,NeuroDev,0.18038347259808085
GAD2,GAD2,None,0.49949480216704256
NPAS3,NPAS3,None,-0.1475162507164616
CACNA1C,CACNA1C,NeuroDisease,0.12931453675792187
LINC00461,LINC00461,None,-0.13657272434706486
GPC6,GPC6,None,-0.16846169123911187
SAMD3,SAMD3,None,-1.3657337650950325
CD24,CD24,None,0.9432526519485321
ATP5MC2,ATP5MC2,None,-0.3566253495130986
DSCAML1,DSCAML1,NeuroDev,0.22771257824499483
AMBN,AMBN,None,-0.370102293165464
ATP5PF,ATP5PF,HSA21gene,0.49713906921066736
HMGN1,HMGN1,HSA21gene,0.44557884516736823
IQCJ-SCHIP1,IQCJ-SCHIP1,None,0.35084702153547104
VDAC1,VDAC1,None,-0.17180661652966028
HERC3,HERC3,None,0.2564506159032797
RUNX1T1,RUNX1T1,None,0.5503915713118437
KCNMB2,KCNMB2,None,-0.5946492446132546
CTNNA2,CTNNA2,NeuroDisease,0.21995376159926
ADORA1,ADORA1,NeuroDev,-0.2522599391731912
ST8SIA5,ST8SIA5,None,1.2283203050517515
RIPOR2,RIPOR2,None,0.40478345297559065
ATP5PO,ATP5PO,HSA21gene,0.5461990795207154
ADCY2,ADCY2,None,-0.9868183330493949
ATP5MC3,ATP5MC3,None,-0.2631307866549121
NAV3,NAV3,NeuroDev,0.36492570176929684
VEPH1,VEPH1,None,-0.2711093671756532
MAPT,MAPT,NeuroDev,0.4608878669866546
LINC02609,LINC02609,None,-1.4107071104786788
PABPC1,PABPC1,None,-0.04703770989814439
ENOX1,ENOX1,None,0.7503100359681242
HAT1,HAT1,None,0.4250196329706437
PTPRD,PTPRD,NeuroDev,-0.3577803053927319
COL4A5,COL4A5,None,-1.4872546214350137
RND3,RND3,None,0.3761456105638627
EIF5A,EIF5A,None,-0.7364189304332718
ELAVL2,ELAVL2,None,-0.0171223809707756
INA,INA,NeuroDev,0.44077324809760976
EIF1B,EIF1B,None,-0.18543904690864638
POLR2I,POLR2I,None,-0.058732562268651936
PTPRM,PTPRM,NeuroDev,0.23747452089337603
PDE5A,PDE5A,None,0.37958141121818895
CCT8,CCT8,HSA21gene,0.631659718252785
NCALD,NCALD,GeneralTF,-0.8202249570881543
ZNF609,ZNF609,None,0.2394863938785578
LINC00903,LINC00903,None,0.4661035555439826
LINC02223,LINC02223,None,0.8642965668194229
SLC22A23,SLC22A23,None,-0.28767513476035333
